SPY	1
SOXX	1
QQQ	1
DIA	1
MSFT	1
AAPL	1
AMZN	0
FB	0
GOOGL	0
GOOG	0
JNJ	0
BRK.B	0
V	0
PG	0
JPM	0
UNH	0
INTC	0
HD	0
MA	0
VZ	0
T	0
PFE	0
MRK	0
NVDA	0
NFLX	0
DIS	0
XOM	0
PEP	0
CSCO	0
BAC	0
ADBE	0
WMT	0
KO	0
CVX	0
ABT	0
PYPL	0
CMCSA	0
ABBV	0
CRM	0
BMY	0
AMGN	0
COST	0
LLY	0
TMO	0
MCD	0
MDT	0
ACN	0
ORCL	0
NEE	0
NKE	0
PM	0
UNP	0
IBM	0
AVGO	0
TXN	0
AMT	0
DHR	0
GILD	0
LIN	0
WFC	0
C	0
LMT	0
HON	0
QCOM	0
SBUX	0
LOW	0
RTX	0
CVS	0
MMM	0
CHTR	0
FIS	0
SPGI	0
INTU	0
MDLZ	0
VRTX	0
BDX	0
CI	0
ANTM	0
NOW	0
MO	0
BA	0
D	0
UPS	0
CME	0
CCI	0
AMD	0
PLD	0
ADP	0
SYK	0
TGT	0
ISRG	0
DUK	0
ZTS	0
CL	0
SO	0
CAT	0
BKNG	0
BIIB	0
FISV	0
EQIX	0
GS	0
AXP	0
TJX	0
ATVI	0
BLK	0
MMC	0
GE	0
BSX	0
ICE	0
NOC	0
NEM	0
HUM	0
APD	0
MU	0
GPN	0
CSX	0
ECL	0
AMAT	0
ILMN	0
KMB	0
DG	0
CB	0
COP	0
SHW	0
ITW	0
AON	0
EW	0
USB	0
MS	0
REGN	0
TFC	0
PNC	0
BAX	0
NSC	0
PGR	0
DE	0
MCO	0
LHX	0
ADSK	0
SCHW	0
ADI	0
CNC	0
AEP	0
WM	0
GIS	0
EL	0
DXCM	0
ROP	0
LRCX	0
EXC	0
TMUS	0
DLR	0
SRE	0
EA	0
DD	0
PSX	0
SBAC	0
EMR	0
EBAY	0
ETN	0
ALL	0
ROST	0
GD	0
XEL	0
WBA	0
ORLY	0
MSCI	0
CTSH	0
KMI	0
EOG	0
GM	0
BK	0
COF	0
FDX	0
INFO	0
STZ	0
KR	0
WEC	0
PSA	0
HCA	0
TROW	0
KLAC	0
VLO	0
CLX	0
WLTW	0
VRSK	0
YUM	0
MET	0
MNST	0
SYY	0
DOW	0
APH	0
AZO	0
IDXX	0
AFL	0
A	0
ES	0
IQV	0
TRV	0
TEL	0
RMD	0
ED	0
CMG	0
SLB	0
SNPS	0
CMI	0
PEG	0
ZBH	0
AIG	0
PCAR	0
WMB	0
CDNS	0
TWTR	0
MSI	0
ALXN	0
ANSS	0
FAST	0
HPQ	0
ROK	0
PRU	0
MCK	0
VRSN	0
JCI	0
MAR	0
FE	0
XLNX	0
AVB	0
AWK	0
MPC	0
EQR	0
CERN	0
PPG	0
MCHP	0
MKC	0
STT	0
PAYX	0
BLL	0
OTIS	0
EIX	0
HSY	0
FTNT	0
FLT	0
PH	0
F	0
ADM	0
DTE	0
PPL	0
ETR	0
HLT	0
MKTX	0
KEYS	0
SWKS	0
TT	0
VFC	0
AME	0
KHC	0
ARE	0
DLTR	0
CHD	0
O	0
TSN	0
BBY	0
EFX	0
CTVA	0
INCY	0
CTAS	0
RSG	0
CPRT	0
CTXS	0
MTD	0
AEE	0
SPG	0
FRC	0
FTV	0
APTV	0
CAG	0
SWK	0
TDG	0
WELL	0
AJG	0
LH	0
DHI	0
K	0
CMS	0
GLW	0
TFX	0
LVS	0
AKAM	0
NTRS	0
AMP	0
ESS	0
COO	0
ALGN	0
AMCR	0
ODFL	0
MXIM	0
TTWO	0
CAH	0
CDW	0
DPZ	0
CARR	0
LYB	0
DGX	0
LEN	0
IFF	0
JKHY	0
PXD	0
HOLX	0
TIF	0
OKE	0
WY	0
BR	0
HRL	0
SJM	0
ABC	0
LDOS	0
LUV	0
KSU	0
VMC	0
OXY	0
PAYC	0
TSCO	0
EVRG	0
STE	0
IP	0
EXPD	0
DOV	0
MTB	0
FCX	0
CBRE	0
NDAQ	0
ZBRA	0
MAA	0
DFS	0
HIG	0
KMX	0
HPE	0
DAL	0
BF.B	0
ULTA	0
GWW	0
ANET	0
WDC	0
NUE	0
NLOK	0
WAT	0
QRVO	0
DRE	0
HES	0
FITB	0
FMC	0
ATO	0
GRMN	0
MAS	0
BXP	0
OMC	0
STX	0
LNT	0
CXO	0
IEX	0
EXR	0
CBOE	0
VAR	0
GPC	0
PEAK	0
UDR	0
XYL	0
MLM	0
IT	0
VTR	0
J	0
KEY	0
PKI	0
NVR	0
CHRW	0
NTAP	0
VIAC	0
SYF	0
WAB	0
IR	0
BKR	0
CE	0
CTL	0
ALLE	0
HAL	0
PFG	0
RF	0
EXPE	0
PKG	0
ETFC	0
FOXA	0
CNP	0
CPB	0
AVY	0
SIVB	0
CFG	0
AAP	0
ABMD	0
DRI	0
JBHT	0
LW	0
NI	0
EMN	0
FFIV	0
HAS	0
MYL	0
URI	0
XRAY	0
AES	0
HBAN	0
PNW	0
NRG	0
WU	0
HSIC	0
JNPR	0
RJF	0
CINF	0
COG	0
